from,to,via,path,median,q2.5,q97.5,n_draws,nonzero_95,median_std,q2.5_std,q97.5_std,nonzero_95_std,from_label,to_label
chl_log1p,cal_log1p,pH,chl_log1p -> pH -> cal_log1p,0.03554064209952272,-0.44596951193488754,0.5737320507119731,12000,FALSE,0.013409136120076302,-0.16825992828697958,0.21646348264908474,FALSE,chlorophyll,calanoids
chl_log1p,cal_log1p,oxy,chl_log1p -> oxy -> cal_log1p,-0.11647106352508732,-0.6489248544813974,0.345709103332899,12000,FALSE,-0.04394339135698742,-0.2448329909480903,0.1304326582384008,FALSE,chlorophyll,calanoids
chl_log1p,cyc_log1p,pH,chl_log1p -> pH -> cyc_log1p,0.06485624619172634,-0.4479785507672114,0.6284583375420636,12000,FALSE,0.020475067497685694,-0.141426487085899,0.1984038182323697,FALSE,chlorophyll,cyclopoids
chl_log1p,cyc_log1p,pH -> cal_log1p,chl_log1p -> pH -> cal_log1p -> cyc_log1p,2.8684668777053285e-4,-0.1153916985774682,0.11789030809843323,12000,FALSE,9.055728073171269e-5,-0.03642907130427887,0.03721788042593053,FALSE,chlorophyll,cyclopoids
chl_log1p,cyc_log1p,oxy -> cal_log1p,chl_log1p -> oxy -> cal_log1p -> cyc_log1p,-9.533180885542674e-4,-0.1365183378563561,0.11652074561387295,12000,FALSE,-3.0096179406083773e-4,-0.04309873522463185,0.03678551059325823,FALSE,chlorophyll,cyclopoids
defor,cal_log1p,chl_log1p -> pH,defor -> chl_log1p -> pH -> cal_log1p,1.0731985864630679e-4,-0.0024865543931287585,0.003240712427849022,12000,FALSE,0.002732684892837971,-0.06331511903791241,0.08251824038271824,FALSE,deforestation,calanoids
defor,cal_log1p,chl_log1p -> oxy,defor -> chl_log1p -> oxy -> cal_log1p,-4.322328552978932e-4,-0.0038086093680368372,0.0017809478625028599,12000,FALSE,-0.011005942504578774,-0.09697859663658437,0.04534826433971568,FALSE,deforestation,calanoids
defor,cal_log1p,temp -> oxy,defor -> temp -> oxy -> cal_log1p,-2.2331162927522296e-4,-0.0029436979832201415,0.0013319108166299524,12000,FALSE,-0.005686182626522083,-0.07495536342751333,0.033914436835101154,FALSE,deforestation,calanoids
defor,cyc_log1p,chl_log1p -> pH,defor -> chl_log1p -> pH -> cyc_log1p,2.2832677470304027e-4,-0.0023820268035221236,0.0037171952388996335,12000,FALSE,0.004864792375267803,-0.0507521110764574,0.07919957297649301,FALSE,deforestation,cyclopoids
defor,cyc_log1p,chl_log1p -> pH -> cal_log1p,defor -> chl_log1p -> pH -> cal_log1p -> cyc_log1p,8.357911173622074e-7,-5.838578403874392e-4,6.119351869470684e-4,12000,FALSE,1.7807592913044742e-5,-0.01243983397852166,0.013038057562412265,FALSE,deforestation,cyclopoids
defor,cyc_log1p,chl_log1p -> oxy -> cal_log1p,defor -> chl_log1p -> oxy -> cal_log1p -> cyc_log1p,-3.005329140369779e-6,-7.069944941137355e-4,6.09144964482417e-4,12000,FALSE,-6.403236022694261e-5,-0.015063417020601487,0.012978608323535262,FALSE,deforestation,cyclopoids
defor,cyc_log1p,temp -> oxy -> cal_log1p,defor -> temp -> oxy -> cal_log1p -> cyc_log1p,-1.1548181359690622e-6,-5.384686816505896e-4,4.337714838088914e-4,12000,FALSE,-2.460486935879476e-5,-0.0114727602149211,0.009242053236141988,FALSE,deforestation,cyclopoids
defor,oxy,chl_log1p,defor -> chl_log1p -> oxy,-0.11268682036756905,-0.2770116820233933,-0.0023118032787248005,12000,TRUE,-0.1360353762944643,-0.3344081258047456,-0.0027908057740407503,TRUE,deforestation,oxygen
defor,oxy,temp,defor -> temp -> oxy,-0.07155482197400631,-0.23793120074708368,0.023186488641095244,12000,FALSE,-0.08638088377297727,-0.287230221957158,0.027990697554072422,FALSE,deforestation,oxygen
defor,pH,chl_log1p,defor -> chl_log1p -> pH,-0.005555584314868158,-0.0142162218309579,-6.927396892402574e-5,12000,TRUE,-0.138793247830506,-0.35515896942055764,-0.0017306476856707104,TRUE,deforestation,pH
oxy,cyc_log1p,cal_log1p,oxy -> cal_log1p -> cyc_log1p,3.992272557571167e-5,-0.004593267659818135,0.0053224957177284505,12000,FALSE,7.046101804666357e-4,-0.08106819131319602,0.09393859297229824,FALSE,oxygen,cyclopoids
pH,cyc_log1p,cal_log1p,pH -> cal_log1p -> cyc_log1p,-2.3506323523553427e-4,-0.08930416843990369,0.08510510292016212,12000,FALSE,-2.004719346016372e-4,-0.07616239688524287,0.07258125503880253,FALSE,pH,cyclopoids
temp,cal_log1p,oxy,temp -> oxy -> cal_log1p,0.00680666807426791,-0.022366559123252652,0.0445358004842763,12000,FALSE,0.02941422237003708,-0.09665447712825265,0.1924562685558901,FALSE,temperature,calanoids
temp,cyc_log1p,oxy -> cal_log1p,temp -> oxy -> cal_log1p -> cyc_log1p,4.8279706682767944e-5,-0.007728588347237309,0.00909767061465164,12000,FALSE,1.745763565016093e-4,-0.027946085162175446,0.03289659978660384,FALSE,temperature,cyclopoids
