from,to,from_label,to_label,median_raw,q2.5_raw,q97.5_raw,nonzero_95_raw,median_std,q2.5_std,q97.5_std,nonzero_95_std,label_std
defor,temp,deforestation,temperature,-0.050826545681243174,-0.11547578409323568,0.014612982466526606,FALSE,-0.2994865067551999,-0.6804208062808283,0.08610443644196117,FALSE,-0.299
defor,chl_log1p,deforestation,chlorophyll,0.004811805934954929,1.2930357630789224e-4,0.009467656905453413,TRUE,0.3247446744383652,0.008726587971220019,0.6389640814731669,TRUE,0.325
temp,oxy,temperature,oxygen,1.5890397401446097,0.27466829132361387,2.9291219435337243,TRUE,0.32555684472368485,0.056273068577142045,0.6001081493789231,TRUE,0.326
chl_log1p,oxy,chlorophyll,oxygen,-24.7277265083736,-39.81105559652758,-9.640362492558594,TRUE,-0.4423122749809435,-0.712112315069887,-0.17244006092839173,TRUE,-0.442
chl_log1p,pH,chlorophyll,pH,-1.2389441068691553,-2.0321448746898874,-0.4440639090292369,TRUE,-0.45862357518160785,-0.7522450307079783,-0.16438044011747913,TRUE,-0.459
oxy,cal_log1p,oxygen,calanoids,0.005328995376157589,-0.013120641040501344,0.023502672872037538,FALSE,0.11240252565136122,-0.2767488216851555,0.49573317368489833,FALSE,0.112
pH,cal_log1p,pH,calanoids,-0.033695376210033226,-0.4179245378784029,0.33792874795921557,FALSE,-0.034343233136967743,-0.4259599224698298,0.3444260631638607,FALSE,-0.034
pH,cyc_log1p,pH,cyclopoids,-0.06253136000730844,-0.45851384949552265,0.34211093090468175,FALSE,-0.05332940602717251,-0.39104013163907997,0.29176676692170733,FALSE,-0.053
cal_log1p,cyc_log1p,calanoids,cyclopoids,0.03308763732657894,-0.38213531188899164,0.4326469260652197,FALSE,0.02768622606350899,-0.3197534029820084,0.3620192183109383,FALSE,0.028
